overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,16,False,homeostasis,14,128,0.978408666011361,0.9426737437103103,0.9975545249492817,0.007296696716497871,0.0004567371736139285,0.019985131457124147
5,per_pair,16,False,homeostasis,15,0,0.9936901391037566,0.9884655198122899,0.9978425829417474,0.0,0.0,0.0
5,per_pair,16,False,sham,0,1920,0.9480451793152692,0.9089911696899848,0.9789669696188925,0.04962982324626935,0.019545899752484018,0.08742645805879279
5,per_pair,16,False,sham,1,1792,0.9360202402225563,0.880972171361711,0.977590242272851,0.0532559776631862,0.015511110566306241,0.10398603374684481
5,per_pair,16,False,sham,2,1664,0.9446344292234009,0.8990219232785993,0.980385801688624,0.050476640426100054,0.014530637266567333,0.09616079637505193
5,per_pair,16,False,sham,3,1536,0.9636278761247596,0.932083182928492,0.9872977120812628,0.01905380167597995,0.0026286727009116107,0.040837529088358145
5,per_pair,16,False,sham,4,1408,0.9602810703924503,0.9230038684825378,0.9879645720756852,0.03267675659824505,0.00770359013034562,0.06667899432295937
5,per_pair,16,False,sham,5,1280,0.9622056814514965,0.9316400066536643,0.9848623268136154,0.0333131901820127,0.01107304798552429,0.06357799836276284
5,per_pair,16,False,sham,6,1152,0.9369695239757294,0.8713706378994768,0.983769412111097,0.05351871657608024,0.011535110167470896,0.11384733389860749
5,per_pair,16,False,sham,7,1024,0.9691200064720161,0.936256418259502,0.990040283995109,0.018576719357002208,0.00697195965724214,0.032598364052028796
5,per_pair,16,False,sham,8,896,0.939549949585539,0.8733181913684024,0.9816729529769268,0.04233640523200007,0.0087394773366762,0.09500436140661368
5,per_pair,16,False,sham,9,768,0.9709887866872796,0.9384237768212196,0.9911933138925736,0.02475347862543159,0.004747136196802148,0.05721729619667208
5,per_pair,16,False,sham,10,640,0.9652262117695476,0.9264218367405181,0.9914896158780546,0.0176608387975165,0.00288835060510621,0.04003262517295551
5,per_pair,16,False,sham,11,512,0.9883642770555537,0.9778947245115216,0.9961154983721052,0.00609950398563006,-0.0018207848454927693,0.016272374578071503
5,per_pair,16,False,sham,12,384,0.9843885051638512,0.9696952529613543,0.99627344578404,0.003892637375565236,-0.002369920962418036,0.01188046944970215
5,per_pair,16,False,sham,13,256,0.9829090789439706,0.9680765845007546,0.9929688843246728,0.005483765213280797,-0.0030095010009256813,0.015642139407756214
5,per_pair,16,False,sham,14,128,0.9930373057661911,0.9866158721148907,0.997291078685152,0.002715251963702541,0.0005242583789820582,0.00606886690502049
5,per_pair,16,False,sham,15,0,0.9720337298622909,0.9225339539157552,0.9979749895757556,0.0,0.0,0.0
5,per_pair,16,False,random_ordinary,0,1920,0.9641935618857193,0.9373077846746843,0.9854392569713245,0.03414275828757494,0.013172603397896701,0.06089025793172629
5,per_pair,16,False,random_ordinary,1,1792,0.9265559413655198,0.8847518263336757,0.9623796731625828,0.061759445700194086,0.02865932026653639,0.10092517187516038
5,per_pair,16,False,random_ordinary,2,1664,0.9468785276822317,0.9181236404030223,0.9716375327705756,0.04849173962857154,0.024203533291808722,0.07713409312150846
5,per_pair,16,False,random_ordinary,3,1536,0.9553394257069839,0.9186772723939991,0.9816158244560819,0.03251840871288995,0.012962155447727403,0.05750084491634792
5,per_pair,16,False,random_ordinary,4,1408,0.9734857865747419,0.9566114521585001,0.9875572015768915,0.019219937943113687,0.0069672304078002584,0.033923077833680745
